RA_ICRS;DE_ICRS;Plx;pmRA;pmDE;Gmag;BPmag;RPmag
deg;deg;mas;mas/yr;mas/yr;mag;mag;mag
349.23969159262;+71.57223029546;    0.2647;   -1.471;    1.053;13.7582;14.6225;12.8418
349.23656400894;+71.56083547992;    0.3678;   -3.740;   -1.146;18.8260;       ;
349.23641486853;+71.56116645638;    0.4063;    2.352;    0.300;16.3558;16.7950;15.6031
349.24111392882;+71.56600631781;    1.2218;   -2.375;    3.015;20.0376;20.6467;18.8851
349.22396912165;+71.57120192735;    0.6328;   -0.406;   -1.315;20.5456;21.0880;19.5762
349.23750957861;+71.56813227547;    0.2907;   -1.617;    0.614;19.7624;20.5479;18.7469
349.22485248233;+71.58515324666;          ;         ;         ;21.1804;       ;
349.22111580025;+71.57577489144;    0.1266;   -1.269;    1.324;19.1718;19.6994;18.4030
349.21974171008;+71.57698150218;    1.2520;   -4.994;    1.585;17.9057;18.9260;16.8773
349.22383506354;+71.59843145059;    1.6976;    8.908;    6.972;15.8934;16.7644;14.9724
349.19621262599;+71.58902699519;    0.8865;   -5.214;   -6.123;15.8714;16.3150;14.7285
349.22021047745;+71.58040789868;    1.0109;   -4.671;    0.610;20.5467;21.2679;19.5489
349.19684782587;+71.58892494702;    0.2719;   -1.270;    0.127;16.8940;       ;
349.20427857256;+71.59038698992;    0.3250;   -1.296;   -1.053;20.5027;20.7477;19.5223
349.19164466967;+71.58766111034;    0.7234;  -20.842;   -6.744;15.4239;15.9641;14.7208
349.20625538699;+71.59206246709;    0.4540;   -1.770;   -0.215;20.1642;20.6921;19.2761
349.21853526656;+71.58867691289;    0.2825;   -3.278;   -2.459;13.1306;14.0906;12.1666
349.19347659667;+71.60171554301;          ;         ;         ;21.0929;       ;
349.17907238606;+71.61260519091;    0.2152;   -2.262;   -0.988;17.9259;18.4478;17.2184
349.20218698090;+71.59801394890;   -0.5120;   -3.459;    0.192;19.8693;20.5775;18.9728
349.18717715455;+71.59794511704;   -0.1722;   -1.054;    0.631;19.9607;20.7526;18.9147
349.21143650925;+71.60860453729;    1.4448;   -3.042;   -0.418;20.8311;20.9309;19.7773
349.19998158827;+71.61670595477;    0.0778;   -3.422;   -1.166;20.3996;20.9911;19.6520
349.21628768219;+71.60932945577;          ;         ;         ;21.2574;       ;
349.19793485441;+71.60358502558;    0.0139;   -6.851;    2.463;20.3088;21.1692;19.0496
349.18072146386;+71.59473887370;   -0.0570;   -3.498;   -3.046;20.4182;20.9496;19.4254
349.21192083584;+71.60012745714;    1.0627;   -3.476;   -1.954;19.6135;20.4272;18.5399
349.20587508192;+71.60055011257;    0.0783;   -0.042;    0.912;18.4234;19.0666;17.6358
349.20138511624;+71.60887155369;    0.2224;   -1.899;   -1.606;18.8801;19.5924;18.0338
349.15112464236;+71.60657432974;    0.3777;   12.634;    1.273;17.1388;17.7347;16.3902
349.17124166212;+71.62675840465;    0.0921;    0.619;    4.917;20.7904;20.6741;19.8165
349.16278468567;+71.61473781490;    1.6861;    1.261;    1.546;20.8258;20.8776;19.7546
349.14922204028;+71.63287488865;          ;         ;         ;20.8098;21.0558;19.6397
349.18940349262;+71.62980531716;    5.0294;   -5.607;   15.868;19.7991;       ;
349.15548320896;+71.62555286294;          ;         ;         ;20.8732;21.1488;20.0005
349.15379348937;+71.63403728716;    0.0421;   -3.127;   -2.102;18.4874;19.0708;17.7151
